66.29.129.200 - - [11/Aug/2022:03:08:18 +0530] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.1" 404 685
223.71.167.164 - - [11/Aug/2022:06:11:08 +0530] "GET / HTTP/1.1" 404 685
192.241.208.47 - - [11/Aug/2022:08:47:51 +0530] "-" 400 -
192.241.214.175 - - [11/Aug/2022:08:48:02 +0530] "GET / HTTP/1.1" 404 685
94.102.61.23 - - [11/Aug/2022:09:43:40 +0530] "GET / HTTP/1.1" 404 685
167.248.133.117 - - [11/Aug/2022:10:40:40 +0530] "GET /api HTTP/1.1" 404 685
167.248.133.117 - - [11/Aug/2022:10:40:42 +0530] "-" 400 -
167.248.133.117 - - [11/Aug/2022:10:40:44 +0530] "GET / HTTP/1.1" 404 685
167.248.133.117 - - [11/Aug/2022:10:40:44 +0530] "GET / HTTP/1.1" 404 685
192.241.219.206 - - [11/Aug/2022:12:58:35 +0530] "-" 400 -
192.241.220.117 - - [11/Aug/2022:15:46:10 +0530] "-" 400 -
141.105.66.148 - - [11/Aug/2022:16:35:09 +0530] "-" 400 -
141.105.66.148 - - [11/Aug/2022:16:35:17 +0530] "GET / HTTP/1.0" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:18 +0530] "OPTIONS / HTTP/1.0" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:20 +0530] "GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:27 +0530] "OPTIONS / null" 400 1914
141.105.66.148 - - [11/Aug/2022:16:35:29 +0530] "-" 400 2248
141.105.66.148 - - [11/Aug/2022:16:35:31 +0530] "-" 400 2104
141.105.66.148 - - [11/Aug/2022:16:35:33 +0530] "-" 400 1938
141.105.66.148 - - [11/Aug/2022:16:35:34 +0530] "-" 400 2498
141.105.66.148 - - [11/Aug/2022:16:35:36 +0530] "-" 400 2586
141.105.66.148 - - [11/Aug/2022:16:35:38 +0530] "-" 400 2628
141.105.66.148 - - [11/Aug/2022:16:35:40 +0530] "-" 400 2198
141.105.66.148 - - [11/Aug/2022:16:35:42 +0530] "-" 400 2004
141.105.66.148 - - [11/Aug/2022:16:35:44 +0530] "OPTIONS sip:nm null" 400 1840
141.105.66.148 - - [11/Aug/2022:16:35:46 +0530] "GET / HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:46 +0530] "GET /nmaplowercheck1660215944 HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:46 +0530] "POST /sdk HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:46 +0530] "GET /indice.aspx HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:46 +0530] "GET /Portal/Portal.mwsl HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:46 +0530] "GET /fFcM HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:46 +0530] "GET /CSS/Miniweb.css HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:47 +0530] "-" 400 -
141.105.66.148 - - [11/Aug/2022:16:35:48 +0530] "GET /?=PHPE9568F36-D428-11d2-A769-00AA001ACF42 HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:48 +0530] "GET /.git/HEAD HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:48 +0530] "GET /docs/cplugError.html/ HTTP/1.1" 404 685
141.105.66.148 - - [11/Aug/2022:16:35:48 +0530] "GET /favicon.ico HTTP/1.1" 404 685
